Alpha_1: 0.45794847678312567, Validation Accuracy: 0.6990
Alpha_2: 0.3451298878217005, Validation Accuracy: 0.5790
Alpha_3: 0.3111697006232536, Validation Accuracy: 0.6265
Alpha_4: 0.21757100518821218, Validation Accuracy: 0.5665
Alpha_5: 0.20618376123827492, Validation Accuracy: 0.6960
Alpha_6: 0.17510698179912365, Validation Accuracy: 0.5120
Alpha_7: 0.13533795499330567, Validation Accuracy: 0.6255
Alpha_8: 0.17867635231712753, Validation Accuracy: 0.5740
Alpha_9: 0.13484274106807898, Validation Accuracy: 0.6035
Alpha_10: 0.1433292664633878, Validation Accuracy: 0.5050
Alpha_11: 0.14571826851632574, Validation Accuracy: 0.6970
Alpha_12: 0.12507178493504303, Validation Accuracy: 0.5000
Alpha_13: 0.12160819408951166, Validation Accuracy: 0.6005
Alpha_14: 0.1045606546380623, Validation Accuracy: 0.5000
Alpha_15: 0.10958676536006762, Validation Accuracy: 0.6960
Alpha_16: 0.10168271877355556, Validation Accuracy: 0.5570
Alpha_17: 0.08296394670212671, Validation Accuracy: 0.5870
Alpha_18: 0.10306449404268092, Validation Accuracy: 0.5000
Alpha_19: 0.09160242682680346, Validation Accuracy: 0.6855
Alpha_20: 0.0838890065328711, Validation Accuracy: 0.5000
Alpha_21: 0.09091644905331049, Validation Accuracy: 0.5870
Alpha_22: 0.08081980025285658, Validation Accuracy: 0.5005
Alpha_23: 0.07734053672652096, Validation Accuracy: 0.6855
Alpha_24: 0.07184227175719408, Validation Accuracy: 0.4995
Alpha_25: 0.07406135426710277, Validation Accuracy: 0.5815
Alpha_26: 0.06780784596163326, Validation Accuracy: 0.5790
Alpha_27: 0.05572652207246579, Validation Accuracy: 0.5725
Alpha_28: 0.06547145409871476, Validation Accuracy: 0.5000
Alpha_29: 0.06805420942772022, Validation Accuracy: 0.6855
Alpha_30: 0.06367338143567695, Validation Accuracy: 0.5000
Alpha_31: 0.061094339316697076, Validation Accuracy: 0.5725
Alpha_32: 0.05727519778416986, Validation Accuracy: 0.4995
Alpha_33: 0.05990723656550265, Validation Accuracy: 0.6855
Alpha_34: 0.05647737977734873, Validation Accuracy: 0.5000
Alpha_35: 0.05385921856241413, Validation Accuracy: 0.5725
Alpha_36: 0.05327535104296326, Validation Accuracy: 0.5275
Alpha_37: 0.040130947815847536, Validation Accuracy: 0.5570
Alpha_38: 0.044070007956526755, Validation Accuracy: 0.6855
Alpha_39: 0.05190403632771121, Validation Accuracy: 0.4995
Alpha_40: 0.051916301337597524, Validation Accuracy: 0.5815
Alpha_41: 0.04800517741388422, Validation Accuracy: 0.4995
Alpha_42: 0.0493073828587367, Validation Accuracy: 0.6855
Alpha_43: 0.046987374114865, Validation Accuracy: 0.5000
Alpha_44: 0.04671830595322307, Validation Accuracy: 0.5640
Alpha_45: 0.0446297323487317, Validation Accuracy: 0.4995
Alpha_46: 0.04485097337487529, Validation Accuracy: 0.6855
Alpha_47: 0.04292345424524657, Validation Accuracy: 0.4995
Alpha_48: 0.04275882333578223, Validation Accuracy: 0.5640
Alpha_49: 0.04100277912947511, Validation Accuracy: 0.4995
Alpha_50: 0.041125571797423655, Validation Accuracy: 0.6855
Alpha_51: 0.039481288832767955, Validation Accuracy: 0.5000
Alpha_52: 0.03939775597710234, Validation Accuracy: 0.5640
Alpha_53: 0.03792025593287552, Validation Accuracy: 0.4995
Alpha_54: 0.03796512991858095, Validation Accuracy: 0.6855
Alpha_55: 0.03689201746417738, Validation Accuracy: 0.5655
Alpha_56: 0.03022536759437782, Validation Accuracy: 0.5640
